group_id,parent_id,group_name,removed
367,97103,Апарат Головнокомандувача ЗС України,0
368,367,Відділ протоколу,0
369,367,Відділ секретного документального забезпечення,0
370,367,Управління внутрішнього контролю,0
372,367,Управління стратегічних комунікацій,0
373,97103,ВСП ЗС України,0
374,373,А0880,0
375,373,А0488,0
376,373,А0952,0
377,373,А2100,0
378,373,А2424,0
380,97103,Генеральний штаб ЗС України,0
381,380,А0133,0
382,380,А0136,0
383,380,А0994,0
384,380,А2513,0
385,380,Адміністративне управління,0
386,380,Апарат помічників начальника Генерального Штабу,0
387,380,Військово-музичне управління ЗС України,0
388,380,Воєнно-наукове управління,0
389,380,Головне оперативне управління,0
390,380,Центральне управління цивільно-військового співробітництва,0
391,380,Головне управління доктрин та підготовки,0
392,380,Головне управління логістики,0
393,380,Головне управління морально-психологічного забезпечення,0
394,380,Головне управління оборонного планування,0
395,380,Головне управління персоналу,0
396,380,Головне управління розвитку та супроводження матеріального забезпечення,0
397,380,Головний командний центр,0
398,380,Комендатура ГШ України,0
399,380,Об'єднаний оперативний штаб,0
400,380,Управління зв'язків з громадськістю ЗС України,0
401,380,Управління по роботі з сержанським складом,0
402,380,Управління правового забезпечення,0
403,380,"Фінансове управління ",0
404,380,Центральне управління безпеки військової служби,0
405,380,Центральне управління зв'язку та інформаційних систем,0
406,380,"Центральне управління оборонних ресурсів ",0
407,380,"Центральне управління охорони державної таємниці та захисту інформації ",0
408,380,Центральне юридичне управління,0
409,97103,ГУР МО України,0
410,409,А0515,0
411,409,А0525,0
412,409,А1799,0
413,409,А2299,0
414,409,А2390,0
415,409,А2798,0
416,97103,КВЗ та КБ ЗС України,0
417,416,А0168,0
419,416,А0106,0
421,416,А0351,0
422,416,А0415,0
423,416,А0476,0
424,416,А0565,0
425,416,А0707,0
426,416,А2724,0
427,416,А3200,0
428,416,А3990,0
429,416,Військовий інститут телекомунікації та інформатизації імені Героїв Крут,0
430,416,Головний ПУСЗ,0
431,97103,КДШВ ЗС України,0
